station,moment,variable,valeur
03006,2016-01-05 00:01:00.000000,CO,0.257
03006,2016-01-05 00:01:00.000000,NO2,28.2366
03006,2016-01-05 00:01:00.000000,O3,7.7914
03006,2016-01-05 00:01:00.000000,PM25,8
03006,2016-01-05 00:02:00.000000,NO2,23.7647
03006,2016-01-05 00:02:00.000000,O3,10.6145
03006,2016-01-05 00:02:00.000000,PM25,9
03006,2016-01-05 00:03:00.000000,CO,0.1994
03006,2016-01-05 00:03:00.000000,NO2,21.3108
03006,2016-01-05 00:03:00.000000,O3,12.5414
03006,2016-01-05 00:03:00.000000,PM25,8
03006,2016-01-05 00:04:00.000000,CO,0.2083
03006,2016-01-05 00:04:00.000000,NO2,18.1532
03006,2016-01-05 00:04:00.000000,O3,16.0777
03006,2016-01-05 00:04:00.000000,PM25,9
03006,2016-01-05 00:05:00.000000,CO,0.2181
03006,2016-01-05 00:05:00.000000,NO2,21.7507
03006,2016-01-05 00:05:00.000000,O3,12.59
03006,2016-01-05 00:05:00.000000,PM25,8
03006,2016-01-05 00:06:00.000000,CO,0.2223
03006,2016-01-05 00:06:00.000000,NO2,17.365
03006,2016-01-05 00:06:00.000000,O3,15.6248
03006,2016-01-05 00:06:00.000000,PM25,6
03006,2016-01-05 00:07:00.000000,CO,0.2406
03006,2016-01-05 00:07:00.000000,NO2,15.7615
03006,2016-01-05 00:07:00.000000,O3,16.3152
03006,2016-01-05 00:07:00.000000,PM25,6
03006,2016-01-05 00:08:00.000000,CO,0.349
03006,2016-01-05 00:08:00.000000,NO2,26.2257
03006,2016-01-05 00:08:00.000000,O3,9.2703
03006,2016-01-05 00:08:00.000000,PM25,6
03006,2016-01-05 00:09:00.000000,CO,0.3813
03006,2016-01-05 00:09:00.000000,NO2,20.6055
03006,2016-01-05 00:09:00.000000,O3,13.7868
03006,2016-01-05 00:09:00.000000,PM25,7
03006,2016-01-05 00:10:00.000000,CO,0.2397
03006,2016-01-05 00:10:00.000000,NO2,7.9033
03006,2016-01-05 00:10:00.000000,O3,23.3732
03006,2016-01-05 00:10:00.000000,PM25,11
03006,2016-01-05 00:11:00.000000,CO,0.2
03006,2016-01-05 00:11:00.000000,NO2,3.6845
03006,2016-01-05 00:11:00.000000,O3,26.4732
03006,2016-01-05 00:11:00.000000,PM25,8
03006,2016-01-05 00:12:00.000000,CO,0.1947
03006,2016-01-05 00:12:00.000000,NO2,2.984
03006,2016-01-05 00:12:00.000000,O3,27.1367
03006,2016-01-05 00:12:00.000000,PM25,8
03006,2016-01-05 00:13:00.000000,CO,0.1781
03006,2016-01-05 00:13:00.000000,NO2,2.0472
03006,2016-01-05 00:13:00.000000,O3,28.421
03006,2016-01-05 00:13:00.000000,PM25,8
03006,2016-01-05 00:14:00.000000,CO,0.202
03006,2016-01-05 00:14:00.000000,NO2,3.6295
03006,2016-01-05 00:14:00.000000,O3,27.5497
03006,2016-01-05 00:14:00.000000,PM25,13
03006,2016-01-05 00:15:00.000000,CO,0.2149
03006,2016-01-05 00:15:00.000000,NO2,6.2787
03006,2016-01-05 00:15:00.000000,O3,25.7305
03006,2016-01-05 00:15:00.000000,PM25,9
03006,2016-01-05 00:16:00.000000,CO,0.2532
03006,2016-01-05 00:16:00.000000,NO2,10.4925
03006,2016-01-05 00:16:00.000000,O3,22.6027
03006,2016-01-05 00:16:00.000000,PM25,32
03006,2016-01-05 00:17:00.000000,CO,0.3189
03006,2016-01-05 00:17:00.000000,NO2,13.579
03006,2016-01-05 00:17:00.000000,O3,19.7512
03006,2016-01-05 00:17:00.000000,PM25,17
03006,2016-01-05 00:18:00.000000,CO,0.3517
03006,2016-01-05 00:18:00.000000,NO2,15.572
03006,2016-01-05 00:18:00.000000,O3,16.9892
03006,2016-01-05 00:18:00.000000,PM25,16
03006,2016-01-05 00:19:00.000000,CO,0.2943
03006,2016-01-05 00:19:00.000000,NO2,13.5457
03006,2016-01-05 00:19:00.000000,O3,18.1153
03006,2016-01-05 00:19:00.000000,PM25,16
03006,2016-01-05 00:20:00.000000,CO,0.2902
03006,2016-01-05 00:20:00.000000,NO2,11.4467
